Stock,Amt_Invstd,ActualPrice_1May,Shares,ActualPrice_1Oct,ActualValue,PredPrice_1Oct,PredValue
MARUTI,13165.3,12125.76,1.0857301067690943,15965.0,17333.68,15979.62,17349.56
EICHERMOT,3424.48,5495.74,0.6231158645129312,7021.5,4375.21,6981.22,4350.11
SBIN,3187.26,773.13,4.122565759220071,864.1,3562.31,849.08,3500.38
UPL,1196.61,663.83,1.8025950347648234,661.45,1192.33,656.48,1183.37
NESTLEIND,21727.05,1189.1,18.27183561547532,1166.4,21312.27,1155.08,21105.46
APOLLOHOSP,24201.02,6968.08,3.473125900706021,7441.0,25843.53,7502.89,26058.47
HINDALCO,2954.06,620.1,4.7638302041045515,765.95,3648.86,755.74,3600.22
JSWSTEEL,5442.16,1027.03,5.298911270456205,1146.1,6073.08,1137.36,6026.79
IOC,2294.68,134.94,17.005135436623572,149.7,2545.67,147.36,2505.81
SUNPHARMA,22407.37,1826.29,12.269348387473082,1636.2,20075.11,1616.76,19836.58
TOTAL,100000.0,,,,105962.04,,105516.74
